DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.894	 0.000	 0	 8000	0.0000
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.929	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.903	 0.000	 0	 8000	0.0040
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.895	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.897	 0.000	 0	 8000	0.0200
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 1.173	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.905	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.897	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.848	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.942	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.881	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.887	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.897	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.812	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.860	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.889	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.867	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.938	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 1.052	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
